dataset,K-means (Euclidean),K-medoids (Euclidean),K-shape,K-means (DTW),C-means (Euclidean),TADPole,Density Peaks (Euclidean),Agglomerative (Euclidean)
OSULeaf,0.14045689156469998,0.11575169038777,0.23836139796500003,0.134309,0.04628708193036,0.010099,0.074171,0.17995513110147532
Rock,0.2248450372964,0.19114106058052,0.05804354258989001,0.225332,0.22740574406399996,0.225691,-0.0088,0.2952373805593076
GunPointOldVersusYoung,0.23844110461899998,0.23844110461899998,0.0,0.238441,0.23844110461899998,0.238441,0.238441,0.238441104618687
Car,0.14031724204475,0.14247198887853002,0.12751337326714002,0.201398,0.155284125733,0.030627,0.048736,0.10786270341014924
Haptics,0.05595163313569,0.06332115681281,0.05894671833681999,0.060585,0.060855978829299995,0.03564,0.080507,0.055438963215064384
UWaveGestureLibraryY,0.32550510763050006,0.3023714428755,0.23606415350770002,0.348137,0.30319169295699994,0.260776,0.231293,0.34143196741552384
WormsTwoClass,-0.001084261950153,0.0013437523167438598,0.0008282659835019999,0.000952,0.0010104729467858003,-0.003278,-0.003911,-0.00911831765732072
Strawberry,-0.019638055805200002,0.005201501879154001,-0.019398783006900004,-0.012421,-0.00128106194973,0.07861,-0.039212,-0.048055231138398366
DodgerLoopGame,0.0094878587573218,0.0042668792535988,0.20470495554166282,-0.002879,0.003978067120506,0.008227,-0.00153,0.010431014440163802
ToeSegmentation1,-0.0031242687342660004,-0.0024956947956194,-0.0005546518134301999,-0.001738,-0.0032260365575060004,0.007291,0.008831,0.01654500011449697
BirdChicken,0.042852925456404,0.029602366917524003,0.06646337752423401,0.002094,0.037892243931299995,0.051864,-0.003118,0.038398316786113426
PowerCons,0.727877844361,0.60717294247171,0.0488011445480588,0.656948,0.7504180424680001,0.001183,0.149751,0.8603847329971139
Plane,0.7012364251745999,0.6313193493249,0.7390891624963001,0.804552,0.8596971747790001,1.0,0.827494,0.804349491793066
Trace,0.34184072036220003,0.34947663196750006,0.32470114421999996,0.407411,0.3365516256986,0.656917,0.33588,0.3304789123928919
FreezerSmallTrain,0.2894357117849,0.24250915047699997,0.27780643176659997,0.280893,0.288314668237,0.054986,0.273574,0.27212117312447887
ItalyPowerDemand,0.000304231785648,0.35170223810563594,0.005587994782950001,-0.000364,0.0013496950426,0.166586,0.540422,-0.00021130594258741956
InsectEPGRegularTrain,1.0,1.0,-0.000385068950328,1.0,0.9551782396701001,1.0,1.0,1.0
Worms,0.016393542384592,0.0005850434239060001,0.046384960225909995,0.017197,0.007823239118696002,-0.004728,-0.003506,0.06674008731439188
InlineSkate,0.012565497694235001,0.012475672091245001,0.0402474139528,0.041695,0.008035289974214998,0.0209,0.013866,0.01339729975369057
WordSynonyms,0.1575352917472,0.1434304243712,0.1899336360591,0.234048,0.10148352200989,0.176232,0.135991,0.16691829230390876
PhalangesOutlinesCorrect,0.0105426973942,0.007804648767939999,0.0107036904447,0.004323,0.0105772478209,-0.000218,0.009841,-0.0013808227392243615
UWaveGestureLibraryZ,0.3080317580749,0.2947604427436,0.340765999518,0.336629,0.3088026857011,0.284005,0.308656,0.2880457375942706
ElectricDevices,0.1631236043819,0.054615838645400004,0.08925057033251,0.18679,0.08242076742582,0.144769,-0.000794,0.19739167162722773
Phoneme,0.016777055005409998,0.01283837011315,0.035825327148289995,0.014401,0.003613307882011,0.013429,-0.000318,0.004800144283039698
DistalPhalanxOutlineCorrect,-0.001069124097968,-0.000730221977351,-0.0010373841981599998,0.000708,-0.000980013346104,-0.024067,-0.004316,0.0011515313254230864
CBF,0.326273235542,0.2188243959447,0.7261760326096,0.328314,0.33938133858420005,0.101474,0.143631,0.4408214818908665
Mallat,0.7704047809942,0.7237096822832999,0.7048602187267,0.804942,0.950468147374,0.428738,0.583352,0.8380817495730466
ECG5000,0.5054603141516,0.43356135664129997,0.4879958035502,0.711433,0.34699331628239993,0.615082,0.516972,0.5867903140808035
BeetleFly,0.050725740798564,0.036492137235950003,0.04147455754248,0.014737,0.001870279852619999,0.109311,0.040921,-0.01566477383982763
Ham,0.051502551864240007,0.034410426562826,0.05199498616249,0.034993,0.037628559375696,0.002705,-0.001447,0.059267597725585576
Fish,0.206704726182,0.18054644198687,0.2657888163607,0.278183,0.06519616239745998,0.000479,0.283167,0.24346952969768823
ShapeletSim,0.002061184122776,0.009748756556828001,0.45882640250515,0.0,0.0026712715251117993,-0.000372,-0.004085,-0.004999747487500704
DodgerLoopWeekend,0.9232150570729999,0.53014626929037,0.068029755438331,-0.039836,0.8289405545246,0.091729,-0.014448,0.9232150570725213
ArrowHead,0.19582270221369996,0.25614236610610003,0.17758928920259998,0.22564,0.18009165613720002,0.245881,0.273028,0.07334100753428381
DistalPhalanxOutlineAgeGroup,0.3936750459326,0.38913882405510003,0.421323695282,0.508541,0.41939823419140004,-0.015084,-0.038574,0.4247279302215552
ToeSegmentation2,-0.00032513915055877997,-0.00097181463566388,0.2676381596954,0.000507,0.0010765214276562002,-0.011473,0.018971,0.04894627233836656
MiddlePhalanxOutlineCorrect,-0.0035521567348199994,-0.00294257875662,-0.00373634003309,-0.005316,-0.00038516908372399994,-0.016562,-0.019522,-0.00538013933814195
FacesUCR,0.214302903545,0.19726334907819998,0.41246604490149996,0.235015,0.03976728910362999,0.138031,0.29896,0.28280394314706564
Fungi,0.6380149449083,0.6285736062881,0.14897239437476,0.548442,0.6103983687851999,0.52409,0.854534,0.7233767754982561
UWaveGestureLibraryAll,0.55173611518,0.49955099326309993,0.6166482181135999,0.515369,0.1680595963183,0.247141,0.540424,0.5928123382570912
SonyAIBORobotSurface2,0.32119246845810007,0.21244285454127004,0.18484830078362,0.297468,0.318193551887,-0.018144,-0.025583,0.25589622232694925
NonInvasiveFetalECGThorax1,0.42599626849100003,0.3808871258022,0.3312452043291,0.351294,0.1464995446505,0.08106,0.115784,0.4659110104380696
Beef,0.14568550921266,0.13837770708072,0.10716331869046,0.122459,0.16899599677460003,0.094808,0.049566,0.07133532034386776
