dataset,K-means (Euclidean),K-medoids (Euclidean),K-shape,K-means (DTW),C-means (Euclidean),Density Peaks (DTW),Density Peaks (Euclidean),Agglomerative (Euclidean)
Haptics,0.09153799993552,0.09454595641704999,0.09402976451314,0.111421,0.08678840457779,0.065745,0.103495,0.0887136210607173
Strawberry,0.1383875280543,0.10412138053072,0.140022064486,0.126876,0.112486425446,0.036201,0.12271,0.14796279289934394
SemgHandGenderCh2,3.5596781089052e-05,0.0280020272447468,0.08475102987850999,0.000215,0.0024210914312399997,0.005919,0.014443,0.0002923877083165515
DiatomSizeReduction,0.8903524447843999,0.8223932275578001,0.8555568587656,0.944226,0.735014896442,0.962062,0.802284,0.9465372775335142
Ham,0.04284232594913,0.04120951090492839,0.04056516121801,0.068542,0.03069430534243,0.140469,0.001866,0.046071840260084214
InsectEPGRegularTrain,1.0,1.0,0.9123464076914001,1.0,0.9729078551720001,1.0,1.0,1.0
MelbournePedestrian,0.6454447237287,0.6529775995111,0.4974068277352,0.610606,0.6795648900099999,in progress,0.680773,0.7691841071771471
ElectricDevices,0.1772762126548,0.08030625854946001,0.2647698962128,0.207548,0.13004876618239997,in progress,0.09375,0.22954581530601847
BME,0.22211137583299995,0.25084919281960005,0.4062758940312,0.495139,0.17623683445419996,0.47019,0.308052,0.24704726032994123
Car,0.23585442547640004,0.2361849349821,0.2273657065028,0.309521,0.215857071248,0.304625,0.113112,0.256699981083654
HandOutlines,0.26671771847419995,0.2196482018481,0.229709009740448,0.185536,0.208377583645,0.123891,0.003771,0.27619230255354094
GunPointMaleVersusFemale,0.373864578605,0.373864578605,0.9001603968702441,0.373865,0.373864578605,0.373865,0.373865,0.3738645786053029
ProximalPhalanxOutlineAgeGroup,0.4541336675237001,0.45424504504390006,0.46381225286300004,0.523132,0.45886931555380006,0.254052,0.458324,0.441730588256716
WormsTwoClass,0.0036557515784748002,0.0029257444821637,0.006905068040638389,0.00249,0.0035467257036124003,1.1e-05,8.7e-05,0.00648359560484501
SemgHandSubjectCh2,0.1641561660318,0.16844569116510003,0.2836639859203,0.178101,0.116989595968,0.159764,0.165651,0.17838472382277007
Wine,0.0017978242114599999,0.0038617237802118,0.0011653780972699997,0.001165,0.000948049077954,0.000232,0.159924,0.00023193495396379838
Worms,0.03831750879265,0.03063359454213,0.07387297244942001,0.034268,0.02668817246213,0.06697,0.036643,0.0862859634460403
ChlorineConcentration,0.001141294713964,0.0008834082681013,0.0008308323619295,0.000868,0.0009748319914253999,0.001371,0.000688,0.0010193025819219095
ToeSegmentation1,0.00044912060810110003,0.0009331508685829099,0.0017505185049267503,0.00154,0.00037954530446154,0.00705,0.009509,0.019390718407314607
EOGVerticalSignal,0.25871746507129995,0.2556999542206,0.2831370090703,0.237645,0.20700984628189997,0.375887,0.311956,0.25721276198904525
GunPoint,-1.9220559022899996e-15,-1.9220559022899996e-15,-1.9220559022899996e-15,0.0,-1.9220559022899996e-15,0.0,0.0,-1.9220559022889528e-15
BeetleFly,0.05970209566601999,0.045438446964172,0.05561485037117799,0.029049,0.020076220784749,0.301909,0.057582,0.003366801200017094
Trace,0.5158080683052,0.5221495710126001,0.8982487453128,0.573337,0.5109718822403,0.892601,0.509786,0.5057400007304091
Lightning7,0.42960408962849994,0.3875909074385,0.5869406623353999,0.413122,0.33925103888909997,0.415974,0.431426,0.48526708215970477
