dataset,K-means (Euclidean),K-medoids (Euclidean),K-shape,K-means (DTW),C-means (Euclidean),TADPole,Density Peaks (Euclidean),Agglomerative (Euclidean)
OSULeaf,0.29766049035139996,0.2825259905617,0.3781092401004,not available,0.3236376060535,not available,0.300182,0.3273629414453649
Rock,0.43778797005139997,0.4122312623682,0.48537427401309996,not available,0.434871497872,not available,0.376605,0.4986294820127415
GunPointOldVersusYoung,0.6589213261179999,0.6589213261179999,0.707089360258,not available,0.6589213261179999,not available,0.658921,0.6589213261184467
Car,0.37266946216200003,0.37481121154110003,0.36343067466530005,not available,0.367502084696,not available,0.353092,0.378179208446658
Haptics,0.26880251678869993,0.2742939875862,0.2606044730726,not available,0.24991916912960002,not available,0.28404,0.25536024886954173
UWaveGestureLibraryY,0.41476921484,0.3970647891567,0.3337309731334,not available,0.3934591518017,not available,0.420865,0.43009612206955744
WormsTwoClass,0.5087219904869,0.5057185107961,0.5231829183717001,not available,0.5048189485287999,not available,0.503351,0.5626484001206513
Strawberry,0.5930378524987001,0.5846393385361001,0.5931331908970001,not available,0.5775066884860001,not available,0.677647,0.6452816051305574
DodgerLoopGame,0.5535612387177,0.5511072453495001,0.6789443572273,not available,0.526044034493,not available,0.695886,0.537151881692945
ToeSegmentation1,0.49727703531700007,0.49795081988109996,0.5101894640733,not available,0.49706046483620003,not available,0.503736,0.5235071021508687
BirdChicken,0.5225563513355,0.5191395370283001,0.5535953330046,not available,0.507227770386,not available,0.598487,0.5123887988166342
PowerCons,0.8641247722279999,0.8074702439369,0.5822809485004,not available,0.875055280318,not available,0.64887,0.9301831880751773
Plane,0.7580604636704,0.7002778607506001,0.797234920364,not available,0.879201560159,not available,0.859962,0.8386442043851204
Trace,0.5102314249196,0.5192621527212999,0.6118263014455,not available,0.5033665815485,not available,0.503272,0.4978435985826247
FreezerSmallTrain,0.644988781433,0.632523678209,0.639128977102,not available,0.644892973206,not available,0.640027,0.6393762440219628
ItalyPowerDemand,0.5915539841859999,0.7357210651504,0.5675314682667001,not available,0.58716700755,not available,0.777438,0.5923150116376525
InsectEPGRegularTrain,1.0,1.0,0.6157012682433,not available,0.9746264210643,not available,1.0,1.0
Worms,0.24374836367889996,0.2358604870736,0.27879948228420004,not available,0.3207607953082,not available,0.338188,0.3046812513282624
InlineSkate,0.1668700759351,0.1678064922145,0.20884167822889999,not available,0.15393120158200002,not available,0.178568,0.18760395321662296
WordSynonyms,0.2201189388036,0.206267016291,0.2810782115917,not available,0.2636578403108,not available,0.220408,0.22949240468447443
PhalangesOutlinesCorrect,0.523992695904,0.522968372699,0.524060236126,not available,0.524426165887,not available,0.640298,0.5225559061460198
UWaveGestureLibraryZ,0.39839291410159994,0.3904810823232,0.43594568075560003,not available,0.4223174696526001,not available,0.449064,0.38553326338464894
ElectricDevices,0.3290687915025,0.2155703279225,0.2973265458542,not available,0.3218047654163,not available,0.424826,0.3874526850572282
Phoneme,0.05882468694701999,0.05188067416672,0.07300025068759,not available,0.049851048147980005,not available,0.213479,0.07199480511655813
DistalPhalanxOutlineCorrect,0.5120529338747001,0.5125511060330001,0.51206372408,not available,0.512220361292,not available,0.592081,0.515708618744647
CBF,0.5553399332685001,0.4923939319695,0.8208061498481,not available,0.5734785541798001,not available,0.461352,0.6285184382178521
Mallat,0.8096659809375,0.7717607273557,0.7629468095998001,not available,0.956645178634,not available,0.66739,0.8634511198815092
ECG5000,0.6996596491186,0.64893333889,0.6889864268085001,not available,0.5831979772282999,not available,0.715527,0.7565259902463696
BeetleFly,0.5187979866956001,0.5103313475854,0.5187996673227999,not available,0.49026650682840006,not available,0.537452,0.5523398546674885
Ham,0.5302263933650001,0.5653610069723,0.5259406018329,not available,0.5173303175377001,not available,0.505152,0.5280859306215883
Fish,0.33991884657109994,0.314360984711,0.3784038032126,not available,0.22324880213329998,not available,0.418959,0.3567578087205277
ShapeletSim,0.4998166855081,0.5031294795453001,0.7358613077395,not available,0.49947770731970004,not available,0.498478,0.4974937185533099
DodgerLoopWeekend,0.9675964137059999,0.7932032213900999,0.666309868744,not available,0.9264268913822,not available,0.750909,0.9675964137060067
ArrowHead,0.5215637288784,0.5392303638898,0.46668234957450005,not available,0.46471347978000005,not available,0.53814,0.5136096184955546
DistalPhalanxOutlineAgeGroup,0.6513705915069999,0.6501187822419,0.671075207244,not available,0.664578211073,not available,0.507199,0.6694248486938914
ToeSegmentation2,0.555656881282,0.5552355968145,0.6872897171943,not available,0.5556242977867,not available,0.629895,0.5825409723520232
MiddlePhalanxOutlineCorrect,0.526643288623,0.526139794401,0.52682509995,not available,0.524180246578,not available,0.583536,0.5325712757139787
FacesUCR,0.27955994252500005,0.2685427546451,0.4669447967685999,not available,0.24019265374220003,not available,0.391498,0.3429198344139334
Fungi,0.6674724891516,0.6596989580295001,0.3623213584586,not available,0.6614784375139,not available,0.863972,0.7396589496600595
