dataset,K-means (Euclidean),K-medoids (Euclidean),K-shape,K-means (DTW),C-means (Euclidean),Density Peaks (DTW),Density Peaks (Euclidean),Agglomerative (Euclidean)
Haptics,0.0830025880497,0.08607589628976,0.08911503619041002,0.084245,0.08640088192051001,0.052138,0.096312,0.08527232531682215
Strawberry,0.1090059746646,0.08889481936277,0.110300006422,0.104484,0.09824670555580002,0.031974,0.043793,0.07616238959521304
SemgHandGenderCh2,2.4560026910119998e-05,0.011002541802873,0.0847158113294,0.00015,0.0017945920593900003,0.001414,0.002808,0.00017854396371842768
DiatomSizeReduction,0.8150200356754,0.8202088630791,0.8280838571930002,0.665557,0.75746608639,0.945858,0.789911,0.8195515968576074
Ham,0.04198806805145,0.034281536730863114,0.0403842409143,0.052109,0.03069052327351,0.014959,0.001825,0.046071840260084214
InsectEPGRegularTrain,1.0,1.0,0.0004703602052085592,1.0,0.9638752628352,1.0,1.0,1.0
MelbournePedestrian,0.6119210130241999,0.6159206221463001,0.21910661581429997,0.583524,0.623438100398,in progress,0.517222,0.6520612727629375
ElectricDevices,0.1708316382089,0.08352162974739,0.22306259726920002,0.220831,0.09124404549651,in progress,0.001452,0.19795656708504106
BME,0.1996040403786,0.22373604258740004,0.33790808160280006,0.453028,0.1708740374455,0.37059,0.281852,0.24671386925446098
Car,0.2175203006865,0.2167766423841,0.20853447023219998,0.27678,0.21077271617199997,0.143884,0.081204,0.2109839032424102
HandOutlines,0.20440567481803,0.19964597861349,0.22255645049522,0.031435,0.216123831656,0.001137,0.001408,0.278877025389181
GunPointMaleVersusFemale,0.314263733852,0.314263733852,6.94358955236777e-05,0.314264,0.314263733852,0.314264,0.314264,0.31426373385156986
ProximalPhalanxOutlineAgeGroup,0.4611124653122001,0.4608699750844,0.48174846698699997,0.559283,0.4847942536601,0.149511,0.454795,0.45939012407824237
WormsTwoClass,0.0036532630673845995,0.0029679940777024997,0.00677153640648488,0.002523,0.0036066796734914005,9e-06,8.8e-05,0.0052915272080485505
SemgHandSubjectCh2,0.1352412237872,0.1449173187997,0.19380332114749999,0.166507,0.10213834849700001,0.027088,0.064439,0.155720127635933
Wine,0.001518400468458,0.0028441251760382,0.00096619235318,0.000966,0.0009012985404740001,0.000195,0.028682,0.00019535789854449663
Worms,0.041645895569719996,0.03293054039076,0.07710351596392999,0.037186,0.01932609688802,0.062737,0.023404,0.08779784281661938
ChlorineConcentration,0.0011716712207176,0.000912055821845,0.0008539616056306,0.000886,0.0010128234492658,0.00141,0.000718,0.0010528509473262853
ToeSegmentation1,0.0004495177002228999,0.0009334488700497599,0.0017139123022337104,0.001541,0.00038005101116461997,0.006802,0.009504,0.018451999437549053
EOGVerticalSignal,0.23382071851570002,0.2312713534966,0.2414713932193,0.218148,0.19614896497890003,0.253077,0.20462,0.20467655627549797
GunPoint,-1.9220559022899996e-15,-1.9220559022899996e-15,-1.9220559022899996e-15,0.0,-1.9220559022899996e-15,0.0,0.0,-1.9220559022889528e-15
BeetleFly,0.05789635325456001,0.045036824529639995,0.05242199803761201,0.029049,0.020001310391449,0.201982,0.052385,0.0025897193397655576
Trace,0.5017531430686001,0.5013373562998,0.3484644093152997,0.512939,0.5031468267770001,0.75,0.501237,0.5002890791462722
Lightning7,0.4017043698509,0.353399276089,0.5009762175495,0.401301,0.2268484281475,0.272589,0.385088,0.4801474846257779
Chinatown,0.08644116408434,0.11945326848,0.059194912311140005,0.181899,0.10644033709600001,0.060192,0.127139,0.07368820172592896
PigArtPressure,0.6494641019180001,0.6324326647460999,1.82637421886e-16,0.561712,0.5118843386347,0.547931,0.617726,0.679515670170566
StarLightCurves,0.6396434867903,0.45169090909699994,0.6363357264173,0.638111,0.6407145178039999,in progress,0.639858,0.6401827201686703
Beef,0.3259335688186,0.31218054821029995,0.24853623124759996,0.272802,0.3269837933673,0.234432,0.178537,0.2596293338078134
TwoLeadECG,0.0035671385292,0.0026254530609200006,0.06297896906162001,0.01558,0.00293027324741,0.032637,0.000714,0.0014622760922270062
Earthquakes,0.00303826028152871,0.0034655189779050377,0.004739809015388862,0.0,0.0042598514345572784,0.044572,0.000547,0.0007873960493705669
ACSF1,0.3650370310568,0.3219252019136,0.3346045144412,0.291112,0.3543988431209,0.227721,0.30626,0.3533278070433035
Phoneme,0.1672970502634,0.1453385347913,0.22647751052429999,0.113858,0.1088101070967,0.062447,0.018485,0.16859551940175266
ShapesAll,0.6840412175138,0.6467824138099,0.6679747518004001,0.704656,0.30320582404549995,0.495557,0.451397,0.710028049498016
PigCVP,0.5427811326427999,0.5419717967733999,0.08631679958943002,0.578308,0.4339235782214,0.477917,0.484832,0.5536972108583824
FreezerRegularTrain,0.22024041940499997,0.2024086089482,0.2112079883766,0.21245,0.21937517897700004,0.074674,0.208303,0.19415637152719814
LargeKitchenAppliances,0.020559183045834,0.01957356500769,0.025183371106349904,0.029352,0.0231624619848,0.043012,0.015323,0.023869567229704396
Herring,0.007932012519891,0.007744514587802999,0.008585519226534001,0.040043,0.00474002277578,0.032711,0.0065,0.011021398866117431
DodgerLoopGame,0.010254596842329999,0.006410758449841,0.199429433893804,0.000777,0.006051806733854,0.034254,0.012099,0.010647219899943768
CricketX,0.24102032119739997,0.1839109737814,0.3424779064046,0.284428,0.07428561259496,0.335293,0.109927,0.27321538863823247
DistalPhalanxTW,0.49901987885559995,0.4819629532191,0.5119097070477001,0.582677,0.4357896535211999,0.19404,0.363899,0.5314872065188091
SemgHandMovementCh2,0.24719431704810005,0.2343518350613,0.12430865273345999,0.243465,0.19735846300119997,0.016454,0.04591,0.24098538087151494
FacesUCR,0.3609829526921,0.31890340772509995,0.5991839410473,0.421511,0.05942550647579,0.282518,0.452389,0.4580377432236148
Yoga,0.0006014723095676,0.0009107360414486,0.0006817547807758801,0.002362,0.0035914831817200005,0.001829,0.001645,0.0010850293952559503
ArrowHead,0.2343763699472,0.26246517005650005,0.2463779396468,0.264659,0.24674504559879998,0.213343,0.32546,0.16958084947637478
UWaveGestureLibraryY,0.4288689697951,0.4081026374626,0.33644469654660003,0.445947,0.4079885626714,0.30778,0.278501,0.4360458179018751
DodgerLoopDay,0.38082391585750003,0.37559103953629996,0.12993237168991,0.348522,0.28392751868130006,0.309342,0.313655,0.4021179966077824
ShapeletSim,0.00512946252246786,0.010722531297764435,0.42387508483808,0.0,0.00556343814952102,0.001898,0.000657,-4.805139755722382e-16
NonInvasiveFetalECGThorax2,0.7572593551116,0.7247232735496999,0.7172015537374,0.744741,0.4665610322432999,in progress,0.544853,0.7965496187609845
Rock,0.31392989281260003,0.2922678841442,0.09117420486021,0.286735,0.355639349813,0.379694,0.173787,0.38872475566874554
EthanolLevel,0.007473230239221999,0.007336547120918001,0.007634696206446,0.006297,0.006098227386674,0.004514,0.005021,0.006999993946557584
InsectWingbeatSound,0.5130646358006,0.4943147029964,0.264968402157,0.435832,0.23215067353400004,0.31356,0.450242,0.5097206860536737
Fungi,0.8461535646967,0.8428955116487999,0.347807218428,0.787808,0.7704534000655998,0.798888,0.92782,0.8989416836885665
Adiac,0.5766493258440001,0.5739874667495,0.5538484497630001,0.550674,0.4917792536149001,0.389266,0.520973,0.501913583363687
GunPointOldVersusYoung,0.3164615909030001,0.3164615909030001,0.0,0.316462,0.3164615909030001,0.316462,0.316462,0.3164615909025624
MedicalImages,0.27449096621440006,0.23953085077840003,0.2642728010162999,0.266569,0.21967705595589998,0.114769,0.266135,0.29182403714180355
SonyAIBORobotSurface2,0.2421803944913,0.15791691337586003,0.12109239280196,0.218793,0.23990519316499997,0.01248,0.018043,0.17981076574242857
UWaveGestureLibraryAll,0.6490543350717,0.5982687262208,0.6729555255039,0.606814,0.2178504464371,0.373237,0.658398,0.7011574789304689
HouseTwenty,0.08840589243735,0.08679165132866,0.07998465333488025,0.143806,0.09127244417973,2.3e-05,0.115761,0.057988791450516664
MiddlePhalanxTW,0.42681270675829996,0.4259264605926,0.4251908894433001,0.429882,0.42826617154589997,0.290341,0.198387,0.4237580231202602
PigAirwayPressure,0.5649009969283,0.555002586442,0.08513404615714,0.567375,0.5834055441466001,0.516321,0.521591,0.5712771200107336
MixedShapesRegularTrain,0.47643831442670004,0.3451416401915,0.4979951110369,0.504037,0.37753782705640004,0.188192,0.426125,0.5988940733596534
UWaveGestureLibraryZ,0.41370616675699995,0.3994687548473,0.4415914361337,0.423826,0.35884161287699995,0.342585,0.376788,0.4196570646990214
MiddlePhalanxOutlineCorrect,0.000746872109052,0.00038260355807300005,0.0008955947404900001,0.004458,3.0722451384099994e-05,0.004658,0.015145,0.007796768919562574
ItalyPowerDemand,0.00111051508872,0.32086383945857894,0.0061064815119019995,0.000372,0.00234518326337,0.243289,0.516159,0.00045742697981049644
FiftyWords,0.6445247878938001,0.6066358242626,0.37335204438680003,0.72842,0.2248718085647,0.534058,0.504463,0.693231017546354
CricketY,0.28716603717629996,0.2510140547106,0.31897333020819996,0.317652,0.12272968533069999,0.295764,0.210351,0.31074277715876136
FreezerSmallTrain,0.2210972321835,0.198469167931,0.21163430434859998,0.213766,0.220962403924,0.076625,0.212906,0.2118137385182515
PowerCons,0.637667303752,0.5119025716738901,0.05292193932076281,0.551642,0.653618612639,0.009936,0.228637,0.8091529596734344
SmallKitchenAppliances,0.00796064585801,0.030975745142669996,0.011358558801146,0.073222,0.005465078182082,0.005419,0.005987,0.011903546394098413
MiddlePhalanxOutlineAgeGroup,0.3909924983625,0.3958905947713,0.3985609930396,0.40425,0.40317196175900005,0.043515,0.16691,0.4080688507444365
ProximalPhalanxOutlineCorrect,0.08957984100652,0.08124058113140001,0.09098304955945999,0.06858,0.0925849989801,0.040039,0.075035,0.05899801908958355
FaceAll,0.3674487543885,0.3278946463772,0.6198791744544,0.41805,0.06305635722366001,0.282518,0.452389,0.4580377432236148
SyntheticControl,0.7157586167875,0.45838848839389995,0.6938384419268,0.745595,0.6216544542915999,0.368279,0.354076,0.7362372104960321
Meat,0.6593054188429001,0.6526620922452,0.5162571919813,0.613023,0.537039137089,0.57938,0.835953,0.5793801642856944
DistalPhalanxOutlineAgeGroup,0.3420411132007001,0.3479198304401,0.3480243511327,0.499138,0.32021281446399996,0.160207,0.141252,0.3704715078697539
Symbols,0.7500828189393001,0.676061967792,0.7877308306232,0.771314,0.7738706554002001,0.871004,0.559332,0.7728494071568202
WordSynonyms,0.4389019503432,0.401093280275,0.3473969382323,0.525309,0.14997069092510001,0.344214,0.337656,0.48387737756519245
ECG5000,0.6429657906772,0.593533929063,0.6382302088001,0.663985,0.5646426815729,0.627049,0.633164,0.6653795237065562
GunPointAgeSpan,2.10678484656e-06,2.10678484656e-06,6.407421106119999e-16,2e-06,2.10678484656e-06,2e-06,2e-06,2.1067848465594443e-06
UWaveGestureLibraryX,0.4351745300816,0.4079113538619,0.4100204634781,0.462776,0.3627364969415,0.543173,0.512133,0.4952544099082289
Coffee,0.33009242309871,0.4944282487442201,0.14169462449604,0.000251,0.7629219003281001,1.0,1.0,0.6423780840677293
MixedShapesSmallTrain,0.48719435731340005,0.42154358415899995,0.5249647720661,0.536769,0.39875226996510005,0.538376,0.414194,0.6020074210831108
CBF,0.34454225912950004,0.26081835336149994,0.7613762064959999,0.34381,0.32509136680439993,0.162417,0.264493,0.48381417479699607
OliveOil,0.5513220394807,0.4289567375932,0.515370431612,0.485563,0.6482043761332,0.391097,0.391097,0.6378325117339819
ECGFiveDays,0.0006582160322821,0.0038711601761972003,0.40902719324569004,0.024675,0.000624249725819,0.025631,0.210621,0.016612402156751225
InlineSkate,0.044808021002709995,0.043304574949999994,0.08328965483117999,0.093813,0.03439135688507999,0.057663,0.050615,0.048558490726054095
MoteStrain,0.299817584189,0.28710059450964354,0.49883965936139996,0.36004,0.35790117486839995,0.000576,0.450768,0.3997482716150548
DodgerLoopWeekend,0.881576306188,0.50274939713932,0.19014275930337,0.00973,0.7852569456862001,0.066862,0.007276,0.8815763061880174
InsectEPGSmallTrain,0.9275132408678001,0.9275132408678001,1.08605071579e-16,1.0,1.0,1.0,1.0,1.0
FaceFour,0.3993400575013,0.3556353774434,0.49484618898739996,0.255958,0.3411722178946,0.251868,0.543281,0.40879026017180375
DistalPhalanxOutlineCorrect,2.3600582066261998e-05,0.000666447863536,2.66279975181e-05,0.003175,0.00022066158244300003,0.016368,0.000229,0.004602499850226956
BirdChicken,0.04977836164593,0.040784780576424,0.075477235585161,0.02055,0.0456865541277,0.137925,0.014378,0.04667558601393473
PhalangesOutlinesCorrect,0.0104230946817,0.005197616358359999,0.0105241910165,0.002113,0.011767888738699998,in progress,0.000879,0.00031284085866171643
EOGHorizontalSignal,0.3783447404147,0.3684809246838,0.2806710647243,0.358753,0.3500146817209001,0.031298,0.223188,0.36798057825015035
Mallat,0.8663661317160001,0.8296731707783002,0.8056122642414,0.88116,0.961395216887,0.566219,0.695494,0.9166666666666666
ScreenType,0.019503618714599998,0.013128322661479,0.011023851240954998,0.013109,0.02761521649147,0.010535,0.004329,0.019516132298866992
ProximalPhalanxTW,0.5538813362587001,0.5501266844912001,0.5566476514854999,0.565105,0.5365244014739,0.459317,0.460126,0.5672104906325671
ToeSegmentation2,0.010295646400609999,0.008120278285855001,0.2233948617255,0.008338,0.007924097538446,0.001034,0.002364,0.03409920023547191
Computers,0.0021178290855064,0.0021923170711728598,0.07621376312325,0.002273,0.00077870977498761,0.009863,0.000861,0.00018774959966361794
TwoPatterns,0.020408310031709998,0.02302967267757,0.2947313399865,0.083335,0.02044199215022,in progress,0.0894,0.02587625392279776
Fish,0.32176687276759997,0.28714732749639993,0.36960852680519996,0.365552,0.1053992753939,0.026196,0.35694,0.34873428196279027
NonInvasiveFetalECGThorax1,0.7087134434363,0.6761005391047,0.6191405017925,0.667147,0.3764465339074,in progress,0.431572,0.7458760845160254
CricketZ,0.24862130293909995,0.19612770499999999,0.3302294126265,0.300121,0.07453934136263,0.313265,0.10935,0.2817427837884563
Crop,0.5198111041290001,0.4986675356246,0.20160893054819998,0.50587,0.4825933497867999,in progress,0.344549,0.5434469407193113
RefrigerationDevices,0.0020760882843459,0.0019678695888967,0.007758525206197001,0.001335,0.0018855850071958,0.016822,0.002322,0.011588825627417238
Plane,0.8030344301648,0.7517255162118,0.8053562752742,0.898227,0.887059413819,1.0,0.898227,0.8680896619375897
UMD,0.20979139579869996,0.18171814993990001,0.19528315252349998,0.21609,0.20773426443780002,0.269076,0.166215,0.18838117646730426
SwedishLeaf,0.5137205974389001,0.4857155912672,0.5358827144452001,0.373182,0.43669304446300006,0.201498,0.295541,0.5200869053840205
OSULeaf,0.206463264462,0.1687597955848,0.32686688839570005,0.185491,0.06757894483089,0.033371,0.123461,0.2582648951292351
CinCECGTorso,0.2184694133043,0.1948524766111,0.09603387435134,0.288132,0.05928758171417,0.479104,0.585128,0.24886374166751818
SonyAIBORobotSurface1,0.3725610250235,0.250881437540443,0.4661233972144842,0.614585,0.47518955227954995,0.006806,0.031758,0.45834166665237075
SmoothSubspace,0.46162559439800005,0.30548204379282,0.1873244738682,0.450158,0.3744317635283,0.096345,0.330078,0.5050289209938627
