dataset,K-means (Euclidean),K-medoids (Euclidean),K-shape,K-means (DTW),C-means (Euclidean),Density Peaks (DTW),Density Peaks (Euclidean),Agglomerative (Euclidean)
GunPointOldVersusYoung,0.31535980224500004,0.31535980224500004,0.0,0.31536,0.31535980224500004,0.31536,0.31536,0.3153598022448094
ECGFiveDays,-0.00015930596329327,0.0030562440080536602,0.40861721645998994,0.023877,-0.000193300140135,0.024833,0.209975,0.015807822400902966
CricketY,0.2626880687889,0.22499963445249999,0.29645044166780005,0.294292,0.10353475515257,0.274484,0.183463,0.28683910383290667
GunPointAgeSpan,-0.00160737622407,-0.00160737622407,1.90801918969e-15,-0.001607,-0.00160737622407,-0.001607,-0.001607,-0.0016073762240696662
SonyAIBORobotSurface2,0.23552287572300004,0.15462943011164004,0.12041705489666998,0.21372,0.233233665243,0.011712,0.017286,0.17737795403554202
MiddlePhalanxOutlineAgeGroup,0.3770098794127,0.3850885699753,0.3805906856653,0.380429,0.379993771295,0.039682,0.163898,0.3788302079010735
DiatomSizeReduction,0.8092861799153999,0.8108924310949,0.8174327905564001,0.66167,0.732210707009,0.945262,0.787612,0.8174764832345782
Meat,0.6538756053427,0.6470596312453001,0.5085147148996001,0.606897,0.5297282701789999,0.572605,0.833364,0.5726284409811563
CricketZ,0.22296388973569997,0.1682398065897,0.3076875768646,0.276348,0.05316513844797001,0.291434,0.086127,0.2573109838908261
SonyAIBORobotSurface1,0.36976521466900003,0.2496379851339167,0.4654937542831087,0.608389,0.46952939710573,0.005445,0.030617,0.45770295918625653
ECG5000,0.4181665597256,0.37611853343479995,0.4120020767489,0.581818,0.3375744843334,n/a,0.564059,0.4459198999017984
OliveOil,0.5118194123076001,0.3830636791686,0.47763170737810007,0.448574,0.6239112497398001,0.345611,0.348038,0.6120612584838531
PowerCons,0.6369367387972,0.51091821327788,0.0510020340153959,0.550738,0.6529202295929999,0.007842,0.227077,0.8087681643031067
LargeKitchenAppliances,0.018163632684594998,0.017177573867700004,0.023815191187313907,0.026981,0.020775628655110002,0.040563,0.012849,0.021485624218216242
CricketX,0.21503889537659998,0.1553829267206,0.3200144384932,0.260154,0.05285708437048999,0.312932,0.087394,0.24836764833193184
GunPoint,-0.0036472861196899997,-0.0036472861196899997,-0.0036472861196899997,-0.003647,-0.0036472861196899997,-0.003647,-0.003647,-0.0036472861196886796
ACSF1,0.3051545961843,0.2575073571006,0.26334619859610003,0.229936,0.315549257041,0.165026,0.250877,0.2891333138082356
ShapeletSim,0.001500688986718,0.007114241128738539,0.42177246635506,nan,0.0019363462414159701,-0.002008,-0.002988,-0.0036476658874577666
ToeSegmentation1,-0.002265489727252,-0.0017815377773383004,-0.0010006072014765,-0.001172,-0.002333949379805,0.004102,0.006811,0.015782564378665504
EthanolLevel,0.004239490671172,0.004101140278209,0.004401596955525999,0.003021,0.0028607520897799997,0.001173,0.00175,0.0037634967251625575
OSULeaf,0.19312294491290002,0.1547486919428,0.3154904307215,0.171747,0.053241749626610005,0.018424,0.108819,0.24579975075924093
WordSynonyms,0.3171084392541,0.28612763889900006,0.30095304967610004,0.410494,0.11056897268846,0.288837,0.280708,0.36285348221277147
FacesUCR,0.3480420406558,0.308124526045,0.5930086975314,0.413369,0.05430807193432,0.274606,0.444264,0.4474148964568741
ItalyPowerDemand,0.0004509335392209999,0.320415369061813,0.005450539781523,-0.000287,0.0016864912649599997,0.24279,0.51584,-0.00020260166329285375
SemgHandSubjectCh2,0.13035074647320002,0.14009399708686998,0.1894305028817,0.161834,0.09709920165740002,0.021532,0.058832,0.15093776220901514
SyntheticControl,0.7123267420153,0.45184709322390004,0.6901695044316999,0.742524,0.6177181637907999,0.362145,0.346136,0.7330313167556535
BME,0.1912758029251,0.21565592211059997,0.3309831825252,0.447327,0.1622637009656,0.363996,0.274367,0.23889839505680427
Rock,0.27281473536280004,0.25034578979380007,0.07066793130551999,0.245806,0.319287131093,0.343947,0.12283,0.3536002280324729
ElectricDevices,0.1701269660984,0.07977898824164001,0.2225980323486,0.214086,0.09070691148938,n/a,0.011668,0.19747724041818115
StarLightCurves,0.5685349604543,0.407738705453,0.5791779447867998,0.604882,0.5672250195719999,n/a,0.609921,0.5654307129818066
Symbols,0.7483413959943,0.6737966828769999,0.7862545000645,0.769722,0.7722970654503,0.870107,0.556126,0.7712674829597062
HouseTwenty,0.0837403306557,0.08253009153086,0.07755961922555026,0.138378,0.08625975401031,-0.00458,0.111641,0.05317549473649422
PigAirwayPressure,0.07823883117061001,0.06761463443411,0.031875927756023,0.108067,0.0785665230428,0.123214,0.083121,0.08235741180842147
Herring,0.002006287452582,0.0018368108389086,0.0026402216360560003,0.034344,-0.00111491316926,0.025406,0.000607,0.00516015536019902
PhalangesOutlinesCorrect,0.00957161762066,0.00464060916248,0.009666818525799998,0.002057,0.0108543602524,n/a,0.001106,2.3958622787156522e-05
ProximalPhalanxOutlineAgeGroup,0.45003507946470006,0.4499626940984,0.461401260325,0.521648,0.4569562871774001,0.146561,0.452978,0.4399427796730841
MixedShapesSmallTrain,0.4854279175845999,0.4202969872498,0.5240079209235,0.535833,0.3975302455862,0.537496,0.412933,0.6012054419814229
Phoneme,0.06792706836866,0.04586241025211,0.1239163124631,0.07959,0.01739792734758,0.034839,-0.000727,0.077536048901005
BirdChicken,0.031552503713948,0.022372117541558,0.057604461886732,0.001545,0.0274563127357,0.119582,-0.005911,0.028442078861779956
WormsTwoClass,0.0007889471473214,0.00010505729241220001,0.0038700899741684,-0.000336,0.0007337889202009,-0.00287,-0.002743,0.0024274377143860145
FiftyWords,0.45582238613129994,0.4215061465771,0.30883275166560004,0.566535,0.16274185600899999,0.444186,0.400067,0.5088341766641555
ScreenType,0.01710909509463,0.010716180457701998,0.0086046850156524,0.010699,0.02532446319301,0.008003,0.001893,0.017121456083717224
Lightning7,0.3526550461013,0.3018310719316,0.4705446464615,0.351414,0.19037775698079998,0.219521,0.334982,0.43715867222951954
