dataset,K-means (Euclidean),K-medoids (Euclidean),K-shape,K-means (DTW),C-means (Euclidean),Density Peaks (DTW),Density Peaks (Euclidean),Agglomerative (Euclidean)
Haptics,0.6674455134498001,0.6702102792814,0.6821519732967001,in progress,0.6979869662371,0.629697,0.68144,0.6842351313193645
Strawberry,0.5040494931142,0.5131699171041,0.5041655184989999,in progress,0.508930846799,0.547675,0.512586,0.5024044189096515
SemgHandGenderCh2,0.5074210851562,0.5083052774689,0.5655328142380001,in progress,0.502827833395,0.513721,0.521285,0.5112124582869856
DiatomSizeReduction,0.926951877866,0.9276910276503999,0.9277606857453999,in progress,0.8983765794010001,0.985256,0.897603,0.9394361564211219
Ham,0.5257162915186,0.5168575314818,0.5259927164229999,in progress,0.5188188319951,0.499803,0.499232,0.5296388925453029
InsectEPGRegularTrain,1.0,1.0,0.37988590395149996,in progress,0.9778321750855999,1.0,1.0,1.0
MelbournePedestrian,0.8884464799888999,0.8873893016288001,0.5543115359059001,in progress,0.8767044752364,0.72985,0.855449,0.8714352965909219
ElectricDevices,0.7335392736027001,0.7322363530575,0.6706267825159,in progress,0.6217529828727001,0.595824,0.186359,0.7055838353558105
BME,0.6033209186841001,0.613668528864,0.6243885785225,in progress,0.6075853507136,0.610615,0.643017,0.6389819987585351
Car,0.6589075630251999,0.6591036414567,0.6537675070028001,in progress,0.682072829132,0.421709,0.565686,0.6133053221288516
HandOutlines,0.6564099747804001,0.6445623370463001,0.665578263211,in progress,0.6472026573819999,0.538537,0.533802,0.6940640778873172
GunPointMaleVersusFemale,0.6170485341220001,0.6170485341220001,0.5000916481891998,in progress,0.6170485341220001,0.617049,0.617049,0.6170485341217049
ProximalPhalanxOutlineAgeGroup,0.7259066279897001,0.7266673964203999,0.7616988670570001,in progress,0.7712675825080002,0.478304,0.68797,0.7755185813584369
WormsTwoClass,0.49962899285129997,0.5006726389768,0.501146200947,in progress,0.5004765782886,0.501071,0.498054,0.4980846378909903
SemgHandSubjectCh2,0.6498929674949,0.6615422073909,0.5902637498454999,in progress,0.6529749103939999,0.274525,0.413882,0.6765368928439006
Wine,0.4968714168712,0.49690417690390004,0.496478296478,in progress,0.495823095823,0.495823,0.498771,0.4958230958230958
Worms,0.6467167375503,0.6373178897836999,0.6471360057914,in progress,0.5606973727869999,0.590625,0.526197,0.6452508068651404
ChlorineConcentration,0.5265461846048,0.5271981978592,0.526470416008,in progress,0.5281899835552,0.52674,0.527969,0.5257875819950262
ToeSegmentation1,0.4984403823579999,0.4987534238918999,0.49968416345230005,in progress,0.4983900721116,0.503606,0.504416,0.5082173402649673
EOGVerticalSignal,0.8343576870468,0.8362764876244,0.8194871736089,in progress,0.8494819009192,0.747805,0.702616,0.7907773778684578
GunPoint,0.497487437186,0.497487437186,0.497487437186,in progress,0.497487437186,0.497487,0.497487,0.49748743718592964
BeetleFly,0.5253846153846001,0.5183333333332001,0.5205128205129,in progress,0.5011538461539999,0.55,0.519231,0.48846153846153845
Trace,0.7498140703516,0.7495527638192,0.5977336683417002,in progress,0.7505125628141001,0.854271,0.749598,0.7489447236180905
Lightning7,0.7868708756032,0.7696838372895001,0.8047276666995999,in progress,0.6801733477791,0.64247,0.768935,0.8129616862011229
Chinatown,0.5862772843594,0.601083847659,0.5315610416982001,in progress,0.59376787596,0.514527,0.499082,0.5913894324853229
PigArtPressure,0.9663801632450999,0.9612107346029999,0.016077170418,in progress,0.9080839310743001,0.898755,0.954427,0.971638222442081
StarLightCurves,0.7696993052071001,0.6842010207931001,0.7740461221045,in progress,0.767808155418,0.83347,0.778192,0.7632184317715359
Beef,0.7049152542373001,0.7116384180791,0.6850282485875001,in progress,0.7369491525424999,0.685311,0.581356,0.6389830508474577
TwoLeadECG,0.502038571414,0.5013853865069999,0.5411463498881,in progress,0.5015988650059999,0.516227,0.50005,0.5005714997309282
Earthquakes,0.5005903989438001,0.5003319815147,0.6241309063472,in progress,0.5007243233049,0.548486,0.500896,0.5094973120814864
ACSF1,0.7175376884423,0.7918090452261001,0.725944723618,in progress,0.7713467336687,0.571256,0.662965,0.7239698492462312
Phoneme,0.9191216609475001,0.9239742111778998,0.9283491873016001,in progress,0.9116975094324999,0.54253,0.083112,0.8672603758660132
ShapesAll,0.9747504865165999,0.9735241868221001,0.9712378370867001,in progress,0.8616146788988999,0.881799,0.896736,0.9741673616902975
PigCVP,0.9556496825790001,0.9557362519581,0.3376329458322,in progress,0.8649682578944,0.917306,0.925262,0.9556434990518592
FreezerRegularTrain,0.6441733911306,0.627445370679,0.6386387017896,in progress,0.643171946204,0.526754,0.637167,0.621891963987996
LargeKitchenAppliances,0.5235987538940999,0.5415957276366,0.3769641299511,in progress,0.5560719181131,0.525771,0.472876,0.5633004005340454
Herring,0.5022145669289999,0.5017839566929,0.5020792322833999,in progress,0.49913877952799995,0.527559,0.496186,0.5109498031496063
DodgerLoopGame,0.5042005966303,0.5015883254056002,0.601475449488,in progress,0.5017334515846,0.501975,0.496896,0.5048778521325485
CricketX,0.8547062308680001,0.8284292814588999,0.8659754451794001,in progress,0.6854448503999,0.807176,0.715599,0.8557124518613607
DistalPhalanxTW,0.7832030953646,0.7613396693589,0.8031153657813999,in progress,0.7761488644123,0.467243,0.610534,0.8909587491637412
SemgHandMovementCh2,0.7208901248301,0.7177540477075,0.5431294030406001,in progress,0.6984278828328001,0.245708,0.39886,0.7045630947966877
FacesUCR,0.8804059087989999,0.8703349044019999,0.9027016451757,in progress,0.5644785534312,0.623773,0.852011,0.8898639395286794
Yoga,0.4999396143917,0.4998938521314001,0.5008010691945,in progress,0.500384138444,0.50137,0.500087,0.49995425611066713
ArrowHead,0.602608891898,0.6450733468743,0.6244594899573,in progress,0.628029790115,0.610878,0.661792,0.4866621530128639
UWaveGestureLibraryY,0.8455623965794998,0.8371608228768,0.8296754599934,in progress,0.843019091275,0.717848,0.705728,0.8472750856120055
DodgerLoopDay,0.7896960412803999,0.7855680077400999,0.4015560751431999,in progress,0.6013141981777,0.581875,0.706361,0.7558655164073208
ShapeletSim,0.5010301507536,0.5048793969849001,0.7293417085428,in progress,0.5013417085427001,0.497688,0.49794,0.49748743718592964
NonInvasiveFetalECGThorax2,0.9735775283562,0.9709901026428,0.9654700221431,in progress,0.9289839437855999,0.845936,0.878168,0.9737451187104222
Rock,0.6911387163560001,0.6787577639752,0.4166459627329,in progress,0.6964803312630001,0.683644,0.471636,0.7101449275362319
EthanolLevel,0.6214364873508,0.6154077607815,0.622005497452,in progress,0.6261534122732,0.292388,0.548611,0.6105011658252335
InsectWingbeatSound,0.8867156145355001,0.8803595022531001,0.6125128364132999,in progress,0.6390186448385999,0.709865,0.844803,0.8827628260779693
Fungi,0.9543948613931,0.9525451559934,0.5684390997776999,in progress,0.9431662320102999,0.929731,0.983483,0.9694291509707331
Adiac,0.953777208707,0.9552595292032,0.9477691322760998,in progress,0.9478436586887,0.826875,0.923297,0.9239961916018254
GunPointOldVersusYoung,0.619216555802,0.619216555802,0.49997536339000004,in progress,0.619216555802,0.619217,0.619217,0.6192165558019217
MedicalImages,0.6658517459292,0.6631091532513,0.6752882205513,in progress,0.6593113150976,0.512684,0.639668,0.6585482110183434
SonyAIBORobotSurface2,0.6609432782305001,0.6067582497759,0.5952563006817,in progress,0.659437993788,0.51385,0.502993,0.6287361114006379
UWaveGestureLibraryAll,0.8965652444437,0.8833309407428999,0.9138468134934999,in progress,0.6187756528005,0.725245,0.878574,0.9056720154612883
HouseTwenty,0.5573282381977,0.5579014409679,0.5555927075871,in progress,0.5580447416606,0.496855,0.580925,0.5336358570177534
MiddlePhalanxTW,0.7906334355426,0.7880035118065999,0.8103486909347002,in progress,0.8132184133973,0.564916,0.457681,0.7918861545719003
PigAirwayPressure,0.9645704509851999,0.9631235056476999,0.4886511666254,in progress,0.9680167367467,0.945235,0.953933,0.9652898013026631
MixedShapesRegularTrain,0.8076086615922999,0.7594754872730001,0.8103036000327,in progress,0.7716292632735999,0.509603,0.741081,0.8373058800144983
UWaveGestureLibraryZ,0.8431507452661,0.8353539997942001,0.8394169874049998,in progress,0.8149158375152,0.719683,0.784604,0.8324942640180774
MiddlePhalanxOutlineCorrect,0.49983228035700006,0.5000441367480001,0.4997717499589999,in progress,0.5009520927119999,0.509931,0.499832,0.4997162637612076
ItalyPowerDemand,0.49997000299999994,0.6757309269073,0.5026680665265999,in progress,0.500503283005,0.583162,0.770198,0.49971002899710026
FiftyWords,0.9515100474258998,0.948493130592,0.8374832542902,in progress,0.7284735735587999,0.882956,0.906992,0.9554295213416125
CricketY,0.8542243507457,0.8436950725782999,0.8603574602548001,in progress,0.5793130575031,0.70312,0.800938,0.8426779895329317
FreezerSmallTrain,0.6447176246010999,0.621246651271,0.6389030152878,in progress,0.644156779597,0.527421,0.636785,0.6360582347404096
PowerCons,0.8639368616527999,0.8035623645931,0.5240359021975001,in progress,0.875208913649,0.499366,0.574435,0.9301918910554008
SmallKitchenAppliances,0.4609267467736,0.5131692033820999,0.3404322207388,in progress,0.5542145082332,0.344046,0.424972,0.364952380952381
MiddlePhalanxOutlineAgeGroup,0.692187673406,0.6822739112555001,0.7128958552301,in progress,0.7328454573350001,0.392882,0.473982,0.73828346857639
ProximalPhalanxOutlineCorrect,0.5339648671482999,0.5312778219148,0.5343800047918,in progress,0.5348541595730001,0.580701,0.528584,0.524407621785899
FaceAll,0.8824313818487001,0.8725497356849999,0.9124222321031,in progress,0.5774060965366999,0.623773,0.852011,0.8898639395286794
SyntheticControl,0.868648302727,0.7883628269339,0.8822170283805999,in progress,0.837488035615,0.661469,0.723094,0.868848080133556
Meat,0.8234313725490001,0.8239215686275001,0.7448879551822,in progress,0.7712044817929999,0.72493,0.919328,0.7221288515406162
DistalPhalanxOutlineAgeGroup,0.7018201129727001,0.699374443931,0.7148995454891,in progress,0.7147616058928,0.486823,0.473754,0.7171134760088558
Symbols,0.8845092266542999,0.8641901903057999,0.9105212722969,in progress,0.9002158979392002,0.947384,0.737726,0.9020473743962747
WordSynonyms,0.8946826871363001,0.8902055933116,0.8399787317264,in progress,0.7047787610621,0.788967,0.847856,0.8955996675304356
ECG5000,0.7598676855372,0.7254868973796,0.751326569314,in progress,0.6849451170234999,0.810158,0.763625,0.7984947389477896
GunPointAgeSpan,0.498911061838,0.498911061838,0.49895048041400003,in progress,0.498911061838,0.498911,0.498911,0.4989110618378911
UWaveGestureLibraryX,0.8519915147672,0.8434051745595001,0.8340802172546,in progress,0.8179388513751,0.867473,0.831258,0.8665828412062526
Coffee,0.6709090909091999,0.7716233766232999,0.5818181818182999,in progress,0.9066883116881002,1.0,1.0,0.8344155844155844
MixedShapesSmallTrain,0.8127954056894999,0.7889513737427,0.8220508072992999,in progress,0.7856074124052002,0.822779,0.733349,0.839171517785693
CBF,0.6975774621804,0.6438880979664001,0.8762963991806,in progress,0.697220968321,0.480586,0.597127,0.7506093961595889
OliveOil,0.7907344632768999,0.7500564971752001,0.7853107344633001,in progress,0.8741242937851,0.59548,0.626554,0.8406779661016949
ECGFiveDays,0.4998903368301,0.5020782195623001,0.7011665804052,in progress,0.49986676437300004,0.515425,0.608164,0.5102591432949171
InlineSkate,0.7391323930307001,0.7375858717554,0.7180765675002999,in progress,0.7511129548414999,0.628484,0.723461,0.7081664098613251
MoteStrain,0.6941952555555,0.6824600794698998,0.8040715971673998,in progress,0.7248590967346,0.502824,0.776377,0.6906721790894111
DodgerLoopWeekend,0.962509070386,0.7679432395386,0.5678545513183001,in progress,0.9159638797067,0.613239,0.574297,0.9625090703861969
InsectEPGSmallTrain,0.9551142005957999,0.9554206270393,0.378209675131,in progress,1.0,1.0,1.0,1.0
FaceFour,0.7240025740027,0.7167310167311,0.7783622908625001,in progress,0.6957528957529,0.54408,0.805663,0.7187902187902188
